,Date,AAPL,ABT,AMZN,ASML,AVGO,BHP,GOOG,GOOGL,JPM,MRK,MSFT,NVO,TMUS,V,WFC,WMT
20,2018-07-10 00:00:00,47.5875015258789,62.810001373291,1743.06994628906,199.429992675781,250.559997558594,51.1800003051758,1152.83996582031,1167.14001464844,106.620002746582,59.4465637207031,102.120002746582,49.5,61.1800003051758,136.690002441406,56.6199989318848,87.2099990844727
21,2018-07-11 00:00:00,46.9700012207031,62.5699996948242,1755,193.589996337891,243.440002441406,48.9700012207031,1153.90002441406,1171.4599609375,106.389999389648,59.064884185791,101.980003356934,48.8400001525879,60.1800003051758,138.149993896484,56.0699996948242,86.5299987792969
22,2018-07-12 00:00:00,47.7574996948242,62.7400016784668,1796.61999511719,199.330001831055,209.979995727539,49.6500015258789,1183.47998046875,1201.26000976563,106.849998474121,59.7900772094727,104.190002441406,49.9000015258789,61.5800018310547,139.899993896484,56.0299987792969,86.5199966430664
23,2018-07-13 00:00:00,47.8325004577637,63.060001373291,1813.03002929688,199.190002441406,202.460006713867,49.1199989318848,1188.81994628906,1204.42004394531,106.360000610352,60.0095405578613,105.430000305176,49.8800010681152,61.6800003051758,139.419998168945,55.3600006103516,87.6999969482422
24,2018-07-16 00:00:00,47.7275009155273,61.7799987792969,1822.48999023438,200.080001831055,203.25,48.4799995422363,1183.85998535156,1196.51000976563,110.580001831055,59.7232818603516,104.910003662109,49.5200004577637,61.6300010681152,138.460006713867,56.9900016784668,87.6399993896484
25,2018-07-17 00:00:00,47.8624992370605,62.7999992370606,1843.93005371094,204.339996337891,208.309997558594,48.7299995422363,1198.80004882813,1213.07995605469,110.5,59.6660308837891,105.949996948242,50.1399993896484,61.2099990844727,139.639999389648,56.560001373291,88.1900024414063
26,2018-07-18 00:00:00,47.5999984741211,64.75,1842.92004394531,217.899993896484,208.779998779297,49.8400001525879,1195.88000488281,1212.91003417969,111.529998779297,60.0572509765625,105.120002746582,50.2200012207031,60.5200004577637,140.899993896484,56.5699996948242,88.0699996948242
27,2018-07-19 00:00:00,47.9700012207031,63.7799987792969,1812.96997070313,215.259994506836,210.369995117187,48.4700012207031,1186.9599609375,1199.09997558594,109.889999389648,59.6469459533691,104.400001525879,49.810001373291,59.4099998474121,140.130004882813,56.3300018310547,87.7200012207031
28,2018-07-20 00:00:00,47.8600006103516,63.3199996948242,1813.69995117188,219.809997558594,210.330001831055,48.4799995422363,1184.91003417969,1197.88000488281,111.279998779297,59.6564903259277,106.269996643066,50.439998626709,59.25,140.990005493164,56.4099998474121,88.0599975585938
29,2018-07-23 00:00:00,47.9025001525879,63.2000007629395,1802,220.779998779297,216.720001220703,48.2299995422363,1205.5,1211,113.349998474121,59.8187026977539,107.970001220703,50.3400001525879,58.3600006103516,140.029998779297,58,87.629997253418
